transaction_id,date,customer_id,payment_method,card_provider,amount,status,merchant_category,country,currency,card_last_4,amount_log,prev_amount,amount_diff,txn_time_diff_hr,day_of_week,merchant_category_encoded,payment_method_encoded,country_encoded,currency_encoded,is_weekend,weak_label,fraud_label,fraud_probability,fraud_prediction
TXN100800,2016-05-25,CUST1001,Bank Transfer,,491358,Success,Transportation,Kenya,KES,,13.10493030050488,0.0,0.0,0.0,2,6,0,1,1,0,0,0,0.0,0
TXN107720,2019-07-22,CUST1002,Bank Transfer,,323026,Success,Professional Services,South Africa,ZAR,,12.685491190042502,0.0,0.0,0.0,0,4,0,3,4,0,0,0,0.0,0
TXN109217,2023-02-27,CUST1002,Card,Mastercard,500000,Success,Transportation,Nigeria,NGN,2528.0,13.122365377402328,323026.0,176974.0,31584.0,0,6,1,2,2,0,0,0,0.043000000000000003,0
TXN104920,2020-03-31,CUST1004,Wallet,,500000,Pending,Airtime/Data,Nigeria,NGN,,13.122365377402328,0.0,0.0,0.0,1,0,4,2,2,0,0,0,0.0,0
TXN101968,2022-03-31,CUST1004,POS,Visa,162893,Success,Transportation,Nigeria,NGN,6270.0,12.000854961499284,500000.0,-337107.0,17520.0,3,6,2,2,2,0,0,0,0.0,0
TXN108403,2023-04-25,CUST1004,POS,,309208,Success,Airtime/Data,South Africa,ZAR,,12.64177270264566,162893.0,146315.0,9360.0,1,0,2,3,4,0,0,0,0.008774619795562204,0
TXN109424,2025-10-22,CUST1005,USSD,,500000,Success,Bills Payment,Nigeria,NGN,,13.122365377402328,0.0,0.0,0.0,2,1,3,2,2,0,0,0,0.0,0
TXN104048,2021-04-12,CUST1006,Bank Transfer,,500000,Success,Transportation,Ghana,GHS,,13.122365377402328,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0.0,0
TXN104084,2022-02-04,CUST1006,Card,Verve,98725,Success,Airtime/Data,Nigeria,NGN,7319.0,11.50010361525017,500000.0,-401275.0,7152.0,4,0,1,2,2,0,0,0,0.0,0
TXN103102,2015-11-02,CUST1007,Wallet,,500000,Success,Bills Payment,Nigeria,NGN,,13.122365377402328,0.0,0.0,0.0,0,1,4,2,2,0,0,0,0.0,0
TXN105497,2018-05-12,CUST1007,Wallet,,500000,Reversed,Food Delivery,South Africa,ZAR,,13.122365377402328,500000.0,0.0,22128.0,5,3,4,3,4,1,0,0,0.0,0
TXN104435,2020-07-18,CUST1007,Card,Mastercard,131735,Success,E-commerce,Nigeria,NGN,7799.0,11.788555198897836,500000.0,-368265.0,19152.0,5,2,1,2,2,1,0,0,0.0,0
