transaction_id,date,customer_id,payment_method,card_provider,amount,status,merchant_category,country,currency,card_last_4
TXN100000,3/4/2022,CUST2679,Wallet,,187707,Success,Bills Payment,Nigeria,NGN,
TXN100001,8/3/2022,CUST1488,USSD,,500000,Success,E-commerce,South Africa,ZAR,
TXN100002,1/19/2016,CUST9928,USSD,,500000,Success,Bills Payment,Nigeria,NGN,
TXN100003,9/15/2019,CUST3615,USSD,,365177,Failed,E-commerce,Nigeria,NGN,
TXN100004,10/30/2022,CUST6925,Card,Visa,67849,Success,Retail,Nigeria,NGN,1618
TXN100005,6/22/2021,CUST5010,Card,Verve,67838,Success,Airtime/Data,Nigeria,NGN,3419
TXN100006,10/31/2016,CUST9830,Card,Visa,23935,Success,Bills Payment,Kenya,KES,7672
TXN100007,12/12/2017,CUST4593,Bank Transfer,,500000,Success,Food Delivery,South Africa,ZAR,
TXN100008,7/20/2016,CUST6573,Card,Visa,367632,Failed,Professional Services,Kenya,KES,8018
TXN100009,4/1/2016,CUST2832,Card,Visa,492500,Success,E-commerce,Nigeria,NGN,8809
TXN100010,6/2/2025,CUST2290,POS,,8319,Success,Bills Payment,Nigeria,NGN,
TXN100011,12/17/2015,CUST3060,Wallet,,500000,Reversed,Airtime/Data,South Africa,ZAR,
TXN100012,6/9/2016,CUST4608,POS,Mastercard,500000,Success,Airtime/Data,Ghana,GHS,1509
TXN100013,1/30/2015,CUST6413,USSD,,95475,Success,E-commerce,Nigeria,NGN,
TXN100014,10/18/2015,CUST1887,Card,Mastercard,80271,Success,Retail,Kenya,KES,6566
TXN100015,7/21/2022,CUST6559,USSD,,81044,Success,Retail,Ghana,GHS,
TXN100016,12/24/2023,CUST4872,Card,Visa,145101,Pending,Professional Services,South Africa,ZAR,801
TXN100017,11/12/2016,CUST3697,Bank Transfer,,297571,Pending,E-commerce,Nigeria,NGN,
TXN100018,4/2/2019,CUST8454,Bank Transfer,,226214,Pending,Professional Services,Nigeria,NGN,
TXN100019,3/14/2018,CUST8973,POS,,137689,Success,Retail,Nigeria,NGN,
TXN100020,9/26/2016,CUST4853,Card,Visa,378548,Success,Retail,Nigeria,NGN,8121
TXN100021,7/12/2019,CUST2188,POS,Verve,60093,Success,Professional Services,Nigeria,NGN,4624
TXN100022,2/8/2015,CUST9288,POS,,138206,Success,Bills Payment,Kenya,KES,
TXN100023,12/22/2017,CUST3546,Card,Visa,182510,Pending,Retail,Nigeria,NGN,1241
TXN100024,1/20/2018,CUST1158,Card,Mastercard,243573,Success,Transportation,Nigeria,NGN,2427
TXN100025,4/3/2016,CUST7049,POS,,500000,Success,Professional Services,Nigeria,NGN,
TXN100026,7/13/2021,CUST1653,Bank Transfer,,89094,Success,Food Delivery,Kenya,KES,
TXN100027,1/29/2025,CUST7658,Wallet,,288811,Success,Food Delivery,Nigeria,NGN,
TXN100028,12/17/2021,CUST4728,POS,Visa,359001,Success,Professional Services,South Africa,ZAR,7337
TXN100029,7/2/2017,CUST6139,Card,Mastercard,19025,Success,Food Delivery,Nigeria,NGN,9401
TXN100030,11/23/2019,CUST4114,USSD,,374133,Success,Airtime/Data,Ghana,GHS,
TXN100031,11/9/2017,CUST9821,Bank Transfer,,74784,Success,Professional Services,Nigeria,NGN,
TXN100032,9/14/2022,CUST8066,Wallet,,26905,Success,Food Delivery,Ghana,GHS,
TXN100033,10/14/2015,CUST5920,POS,,500000,Success,E-commerce,Uganda,UGX,
TXN100034,9/8/2020,CUST3085,Bank Transfer,,500000,Success,Food Delivery,Nigeria,NGN,
TXN100035,2/24/2017,CUST5930,POS,,500000,Pending,Airtime/Data,Nigeria,NGN,
TXN100036,7/22/2019,CUST4848,Card,Mastercard,145315,Success,Professional Services,Kenya,KES,1489
TXN100037,7/18/2022,CUST5011,Wallet,,41110,Success,E-commerce,Nigeria,NGN,
TXN100038,4/30/2020,CUST4185,Wallet,,461100,Success,Retail,Ghana,GHS,
TXN100039,1/21/2023,CUST1090,Bank Transfer,,232036,Success,Retail,Ghana,GHS,
TXN100040,1/4/2025,CUST4585,Wallet,,52060,Success,Transportation,South Africa,ZAR,
TXN100041,12/21/2016,CUST5082,Wallet,,273418,Success,Airtime/Data,South Africa,ZAR,
TXN100042,4/15/2025,CUST9702,Bank Transfer,,13997,Failed,Retail,South Africa,ZAR,
TXN100043,4/8/2021,CUST9270,POS,,500000,Success,Retail,Kenya,KES,
TXN100044,10/14/2019,CUST8777,USSD,,119783,Pending,Retail,South Africa,ZAR,
TXN100045,1/18/2020,CUST3503,Card,Verve,434502,Success,Retail,Nigeria,NGN,8122
TXN100046,12/3/2022,CUST7812,Bank Transfer,,149418,Success,Transportation,Nigeria,NGN,
TXN100047,9/13/2015,CUST1320,Bank Transfer,,293644,Pending,Airtime/Data,Nigeria,NGN,
TXN100048,8/10/2024,CUST5892,USSD,,316489,Success,Food Delivery,South Africa,ZAR,
TXN100049,6/14/2023,CUST9947,POS,,81755,Success,Retail,Nigeria,NGN,
TXN100050,12/21/2023,CUST8022,Card,Visa,500000,Success,E-commerce,Ghana,GHS,699
TXN100051,7/9/2016,CUST1659,Card,Mastercard,500000,Success,E-commerce,South Africa,ZAR,805
TXN100052,6/17/2023,CUST1420,Card,Visa,500000,Reversed,E-commerce,Nigeria,NGN,9912
TXN100053,6/1/2025,CUST4249,Wallet,,500000,Reversed,Transportation,Nigeria,NGN,
TXN100054,11/8/2015,CUST5941,Wallet,,364421,Success,Retail,Kenya,KES,
TXN100055,7/14/2024,CUST1672,Wallet,,500000,Failed,Airtime/Data,Ghana,GHS,
TXN100056,11/23/2018,CUST6590,Wallet,,37062,Success,Retail,Kenya,KES,
TXN100057,2/21/2015,CUST8532,Wallet,,87253,Success,Food Delivery,South Africa,ZAR,
TXN100058,12/7/2022,CUST6511,Card,Verve,18512,Success,Transportation,Nigeria,NGN,7379
TXN100059,4/28/2015,CUST8800,Card,Mastercard,157412,Failed,Retail,Kenya,KES,3678
TXN100060,3/30/2022,CUST4630,Bank Transfer,,196852,Success,Food Delivery,Ghana,GHS,
TXN100061,7/15/2019,CUST4033,Card,Mastercard,126624,Success,Airtime/Data,Ghana,GHS,3135
TXN100062,2/23/2017,CUST9595,Bank Transfer,,500000,Failed,Professional Services,Nigeria,NGN,
TXN100063,9/10/2021,CUST5658,Card,Visa,176490,Pending,Airtime/Data,Nigeria,NGN,4271
TXN100064,4/6/2020,CUST4697,Card,Visa,131921,Success,Transportation,Kenya,KES,4131
TXN100065,9/13/2023,CUST8025,Bank Transfer,,312962,Success,Professional Services,Kenya,KES,
TXN100066,6/4/2018,CUST5632,Card,Visa,60759,Success,Food Delivery,Kenya,KES,7974
TXN100067,11/19/2022,CUST3037,Card,Visa,500000,Pending,Transportation,South Africa,ZAR,2499
TXN100068,4/3/2020,CUST9847,Wallet,,30990,Reversed,Airtime/Data,Ghana,GHS,
TXN100069,7/15/2020,CUST6280,USSD,,500000,Pending,Retail,Nigeria,NGN,
TXN100070,10/8/2021,CUST6460,Card,Verve,500000,Success,Transportation,Nigeria,NGN,9671
TXN100071,8/8/2018,CUST7561,POS,,88615,Success,Food Delivery,Ghana,GHS,
TXN100072,2/15/2024,CUST1845,Card,Visa,2214,Success,Professional Services,South Africa,ZAR,8597
TXN100073,4/13/2017,CUST3522,Card,Mastercard,500000,Reversed,Retail,Nigeria,NGN,1317
TXN100074,8/3/2020,CUST5377,Card,Mastercard,490838,Reversed,Airtime/Data,Uganda,UGX,1465
TXN100075,3/14/2024,CUST9022,Wallet,,500000,Failed,Airtime/Data,Nigeria,NGN,
TXN100076,9/14/2024,CUST9903,USSD,,500000,Success,Airtime/Data,Nigeria,NGN,
TXN100077,3/26/2019,CUST8213,Card,Visa,30771,Success,E-commerce,Kenya,KES,289
TXN100078,2/13/2016,CUST3529,Bank Transfer,,177557,Failed,Transportation,Kenya,KES,
TXN100079,11/3/2015,CUST2315,POS,,49260,Success,Retail,Kenya,KES,
TXN100080,7/20/2024,CUST8994,Wallet,,500000,Success,Food Delivery,Nigeria,NGN,
TXN100081,10/13/2024,CUST5708,USSD,,390520,Success,Retail,Kenya,KES,
TXN100082,7/20/2017,CUST2646,Bank Transfer,,160727,Success,Retail,South Africa,ZAR,
TXN100083,12/23/2019,CUST4945,Card,Visa,26267,Success,Transportation,Nigeria,NGN,2221
TXN100084,7/31/2020,CUST7302,Card,Mastercard,148995,Failed,Bills Payment,Uganda,UGX,4647
TXN100085,7/27/2024,CUST5106,Card,Mastercard,157325,Success,Airtime/Data,Kenya,KES,3953
TXN100086,8/8/2022,CUST2591,Wallet,,500000,Success,Bills Payment,South Africa,ZAR,
TXN100087,2/17/2025,CUST8894,Card,Mastercard,405955,Failed,Food Delivery,Ghana,GHS,5884
TXN100088,11/6/2025,CUST8673,Wallet,,500000,Success,E-commerce,South Africa,ZAR,
TXN100089,10/19/2025,CUST7511,Wallet,,255626,Success,Retail,Nigeria,NGN,
TXN100090,11/5/2025,CUST1228,USSD,,50948,Success,Transportation,South Africa,ZAR,
TXN100091,12/19/2017,CUST5295,Bank Transfer,,499650,Success,Retail,Kenya,KES,
TXN100092,7/22/2021,CUST4830,USSD,,500000,Success,Retail,Nigeria,NGN,
TXN100093,4/15/2020,CUST2035,POS,,329554,Pending,Bills Payment,Nigeria,NGN,
TXN100094,2/15/2022,CUST1742,POS,,500000,Success,Bills Payment,South Africa,ZAR,
TXN100095,8/11/2025,CUST8264,POS,Visa,272325,Success,Bills Payment,Nigeria,NGN,9640
TXN100096,12/27/2019,CUST2124,POS,Mastercard,295871,Failed,Bills Payment,Uganda,UGX,532
TXN100097,4/21/2024,CUST6304,Card,Visa,223125,Failed,Bills Payment,South Africa,ZAR,205
TXN100098,3/6/2015,CUST1510,Card,Verve,10299,Success,Retail,Nigeria,NGN,3908
TXN100099,9/7/2015,CUST9032,Wallet,,45666,Success,E-commerce,Uganda,UGX,
TXN100100,12/27/2022,CUST2874,Card,Visa,12773,Success,E-commerce,Uganda,UGX,8478
TXN100101,7/25/2024,CUST8398,POS,,404691,Pending,Transportation,Ghana,GHS,
TXN100102,12/16/2024,CUST3131,Card,Mastercard,150958,Failed,Food Delivery,Nigeria,NGN,1161
TXN100103,3/28/2021,CUST6793,POS,,284174,Success,Transportation,Nigeria,NGN,
TXN100104,10/18/2024,CUST1842,Wallet,,500000,Pending,Retail,Ghana,GHS,
TXN100105,11/10/2025,CUST1430,Card,Visa,114695,Reversed,Professional Services,Nigeria,NGN,9368
TXN100106,10/30/2021,CUST5477,Wallet,,211312,Success,Bills Payment,Uganda,UGX,
TXN100107,11/18/2022,CUST7566,POS,,500000,Success,Bills Payment,South Africa,ZAR,
TXN100108,10/13/2015,CUST9691,USSD,,103922,Success,Retail,Nigeria,NGN,
TXN100109,5/31/2017,CUST6314,Bank Transfer,,32041,Success,Food Delivery,Nigeria,NGN,
TXN100110,9/17/2023,CUST3579,USSD,,136856,Pending,Bills Payment,Uganda,UGX,
TXN100111,6/18/2023,CUST7947,Wallet,,70323,Success,Retail,Ghana,GHS,
TXN100112,6/12/2020,CUST2864,Bank Transfer,,500000,Success,Airtime/Data,Ghana,GHS,
TXN100113,11/14/2018,CUST9149,Card,Verve,500000,Success,E-commerce,Nigeria,NGN,3244
TXN100114,5/18/2023,CUST5743,Card,Verve,401397,Failed,Transportation,Nigeria,NGN,9696
TXN100115,4/16/2016,CUST9363,POS,Verve,500000,Failed,E-commerce,Nigeria,NGN,4535
TXN100116,2/6/2022,CUST6752,USSD,,500000,Pending,Food Delivery,Nigeria,NGN,
TXN100117,2/27/2023,CUST3399,USSD,,82598,Success,E-commerce,Uganda,UGX,
TXN100118,11/14/2017,CUST2234,USSD,,500000,Failed,Retail,Nigeria,NGN,
TXN100119,12/26/2016,CUST8354,USSD,,310039,Success,Airtime/Data,Uganda,UGX,
TXN100120,8/21/2022,CUST6295,USSD,,500000,Success,Airtime/Data,Uganda,UGX,
TXN100121,9/9/2024,CUST2479,Card,Mastercard,500000,Failed,E-commerce,Uganda,UGX,7005
TXN100122,11/24/2021,CUST1672,Bank Transfer,,153092,Success,Professional Services,Kenya,KES,
TXN100123,1/17/2020,CUST8792,USSD,,46636,Success,Airtime/Data,Uganda,UGX,
TXN100124,8/15/2020,CUST1857,Card,Visa,103474,Success,Food Delivery,Nigeria,NGN,5546
TXN100125,11/7/2023,CUST6072,Card,Mastercard,222823,Failed,E-commerce,Ghana,GHS,4629
TXN100126,4/8/2021,CUST9624,Wallet,,500000,Failed,Retail,Nigeria,NGN,
TXN100127,1/18/2016,CUST6060,Bank Transfer,,500000,Success,Food Delivery,Ghana,GHS,
TXN100128,1/8/2017,CUST3712,Card,Mastercard,2790,Success,Bills Payment,Uganda,UGX,9296
TXN100129,2/1/2023,CUST8277,Bank Transfer,,285950,Success,Bills Payment,Nigeria,NGN,
TXN100130,11/5/2021,CUST4918,Wallet,,216109,Success,Airtime/Data,Nigeria,NGN,
TXN100131,6/21/2018,CUST7026,Wallet,,100466,Pending,Bills Payment,Uganda,UGX,
TXN100132,8/10/2022,CUST9239,POS,,51072,Success,Transportation,Uganda,UGX,
TXN100133,11/30/2020,CUST2502,Card,Visa,164763,Success,Transportation,Nigeria,NGN,2478
